County,Cases,Deaths,Date,State,Abbr,FIPS
Somerset,1,NA,2020-03-29,Maryland,MD,24039
Talbot,4,NA,2020-03-29,Maryland,MD,24041
Washington,7,NA,2020-03-29,Maryland,MD,24043
Wicomico,6,NA,2020-03-29,Maryland,MD,24045
Worcester,3,NA,2020-03-29,Maryland,MD,24047
Anne Arundel,99,NA,2020-03-28,Maryland,MD,24003
Baltimore City,129,NA,2020-03-28,Maryland,MD,24510
Baltimore County,162,NA,2020-03-28,Maryland,MD,NA
Calvert,10,NA,2020-03-28,Maryland,MD,24009
Caroline,3,NA,2020-03-28,Maryland,MD,24011
Carroll,82,NA,2020-03-28,Maryland,MD,24013
Cecil,13,NA,2020-03-28,Maryland,MD,24015
Charles,28,NA,2020-03-28,Maryland,MD,24017
Frederick,24,NA,2020-03-28,Maryland,MD,24021
Garrett,3,NA,2020-03-28,Maryland,MD,24023
Harford,23,NA,2020-03-28,Maryland,MD,24025
Howard,81,NA,2020-03-28,Maryland,MD,24027
Kent,3,NA,2020-03-28,Maryland,MD,24029
Montgomery,301,NA,2020-03-28,Maryland,MD,24031
Prince Georges,247,NA,2020-03-28,Maryland,MD,24033
Queen Annes,4,NA,2020-03-28,Maryland,MD,24035
St. Marys,9,NA,2020-03-28,Maryland,MD,NA
Somerset,1,NA,2020-03-28,Maryland,MD,24039
Talbot,3,NA,2020-03-28,Maryland,MD,24041
Washington,6,NA,2020-03-28,Maryland,MD,24043
Wicomico,6,NA,2020-03-28,Maryland,MD,24045
Worcester,2,NA,2020-03-28,Maryland,MD,24047
Anne Arundel,88,NA,2020-03-27,Maryland,MD,24003
Baltimore City,112,NA,2020-03-27,Maryland,MD,24510
Baltimore County,141,NA,2020-03-27,Maryland,MD,NA
Calvert,8,NA,2020-03-27,Maryland,MD,24009
Caroline,1,NA,2020-03-27,Maryland,MD,24011
Carroll,10,NA,2020-03-27,Maryland,MD,24013
Cecil,13,NA,2020-03-27,Maryland,MD,24015
Charles,21,NA,2020-03-27,Maryland,MD,24017
Frederick,22,NA,2020-03-27,Maryland,MD,24021
Garrett,3,NA,2020-03-27,Maryland,MD,24023
Harford,21,NA,2020-03-27,Maryland,MD,24025
Howard,73,NA,2020-03-27,Maryland,MD,24027
Kent,2,NA,2020-03-27,Maryland,MD,24029
Montgomery,255,NA,2020-03-27,Maryland,MD,24031
Prince Georges,196,NA,2020-03-27,Maryland,MD,24033
Queen Annes,1,NA,2020-03-27,Maryland,MD,24035
St. Marys,8,NA,2020-03-27,Maryland,MD,NA
Somerset,1,NA,2020-03-27,Maryland,MD,24039
Talbot,2,NA,2020-03-27,Maryland,MD,24041
Washington,6,NA,2020-03-27,Maryland,MD,24043
Wicomico,6,NA,2020-03-27,Maryland,MD,24045
Worcester,2,NA,2020-03-27,Maryland,MD,24047
Anne Arundel,63,NA,2020-03-26,Maryland,MD,24003
Baltimore City,88,NA,2020-03-26,Maryland,MD,24510
Baltimore County,103,NA,2020-03-26,Maryland,MD,NA
Calvert,9,NA,2020-03-26,Maryland,MD,24009
Caroline,1,NA,2020-03-26,Maryland,MD,24011
Carroll,9,NA,2020-03-26,Maryland,MD,24013
Cecil,9,NA,2020-03-26,Maryland,MD,24015
Charles,17,NA,2020-03-26,Maryland,MD,24017
Frederick,15,NA,2020-03-26,Maryland,MD,24021
Garrett,3,NA,2020-03-26,Maryland,MD,24023
Harford,18,NA,2020-03-26,Maryland,MD,24025
Howard,62,NA,2020-03-26,Maryland,MD,24027
Kent,2,NA,2020-03-26,Maryland,MD,24029
Montgomery,208,NA,2020-03-26,Maryland,MD,24031
Prince Georges,148,NA,2020-03-26,Maryland,MD,24033
Queen Annes,1,NA,2020-03-26,Maryland,MD,24035
St. Marys,4,NA,2020-03-26,Maryland,MD,NA
Somerset,1,NA,2020-03-26,Maryland,MD,24039
Talbot,1,NA,2020-03-26,Maryland,MD,24041
Washington,5,NA,2020-03-26,Maryland,MD,24043
Wicomico,5,NA,2020-03-26,Maryland,MD,24045
Worcester,2,NA,2020-03-26,Maryland,MD,24047
Anne Arundel,41,NA,2020-03-25,Maryland,MD,24003
Baltimore City,72,NA,2020-03-25,Maryland,MD,24510
Baltimore County,81,NA,2020-03-25,Maryland,MD,NA
Calvert,7,NA,2020-03-25,Maryland,MD,24009
Caroline,1,NA,2020-03-25,Maryland,MD,24011
Carroll,7,NA,2020-03-25,Maryland,MD,24013
Cecil,4,NA,2020-03-25,Maryland,MD,24015
Charles,10,NA,2020-03-25,Maryland,MD,24017
Frederick,14,NA,2020-03-25,Maryland,MD,24021
Garrett,3,NA,2020-03-25,Maryland,MD,24023
Harford,9,NA,2020-03-25,Maryland,MD,24025
Howard,49,NA,2020-03-25,Maryland,MD,24027
Kent,1,NA,2020-03-25,Maryland,MD,24029
Montgomery,164,NA,2020-03-25,Maryland,MD,24031
Prince Georges,101,NA,2020-03-25,Maryland,MD,24033
Queen Anne's,1,NA,2020-03-25,Maryland,MD,NA
St. Mary's,4,NA,2020-03-25,Maryland,MD,NA
Somerset,1,NA,2020-03-25,Maryland,MD,24039
Talbot,1,NA,2020-03-25,Maryland,MD,24041
Washington,2,NA,2020-03-25,Maryland,MD,24043
Wicomico,5,NA,2020-03-25,Maryland,MD,24045
Worcester,2,NA,2020-03-25,Maryland,MD,24047
Anne Arundel,31,NA,2020-03-24,Maryland,MD,24003
Baltimore City,53,NA,2020-03-24,Maryland,MD,24510
Baltimore,51,NA,2020-03-24,Maryland,MD,24005
Calvert,3,NA,2020-03-24,Maryland,MD,24009
Caroline,1,NA,2020-03-24,Maryland,MD,24011
Carroll,5,NA,2020-03-24,Maryland,MD,24013
Cecil,4,NA,2020-03-24,Maryland,MD,24015
Charles,8,NA,2020-03-24,Maryland,MD,24017
Frederick,7,NA,2020-03-24,Maryland,MD,24021
Garrett,3,NA,2020-03-24,Maryland,MD,24023
Harford,5,NA,2020-03-24,Maryland,MD,24025
Howard,35,NA,2020-03-24,Maryland,MD,24027
Kent,1,NA,2020-03-24,Maryland,MD,24029
Montgomery,127,NA,2020-03-24,Maryland,MD,24031
Prince Georges,76,NA,2020-03-24,Maryland,MD,24033
Queen Annes,1,NA,2020-03-24,Maryland,MD,24035
St Marys,2,NA,2020-03-24,Maryland,MD,24037
Somerset,1,NA,2020-03-24,Maryland,MD,24039
Talbot,1,NA,2020-03-24,Maryland,MD,24041
Washington,2,NA,2020-03-24,Maryland,MD,24043
Wicomico,4,NA,2020-03-24,Maryland,MD,24045
Worcester,2,NA,2020-03-24,Maryland,MD,24047
Anne Arundel,31,NA,2020-03-24,Maryland,MD,24003
Baltimore City,53,NA,2020-03-24,Maryland,MD,24510
Baltimore,51,NA,2020-03-24,Maryland,MD,24005
Calvert,3,NA,2020-03-24,Maryland,MD,24009
Caroline,1,NA,2020-03-24,Maryland,MD,24011
Carroll,5,NA,2020-03-24,Maryland,MD,24013
Cecil,4,NA,2020-03-24,Maryland,MD,24015
Charles,8,NA,2020-03-24,Maryland,MD,24017
Frederick,7,NA,2020-03-24,Maryland,MD,24021
Garrett,3,NA,2020-03-24,Maryland,MD,24023
Harford,5,NA,2020-03-24,Maryland,MD,24025
Howard,35,NA,2020-03-24,Maryland,MD,24027
Kent,1,NA,2020-03-24,Maryland,MD,24029
Montgomery,127,NA,2020-03-24,Maryland,MD,24031
Prince Georges,76,NA,2020-03-24,Maryland,MD,24033
Queen Annes,1,NA,2020-03-24,Maryland,MD,24035
St Marys,2,NA,2020-03-24,Maryland,MD,24037
Somerset,1,NA,2020-03-24,Maryland,MD,24039
Talbot,1,NA,2020-03-24,Maryland,MD,24041
Washington,2,NA,2020-03-24,Maryland,MD,24043
Wicomico,4,NA,2020-03-24,Maryland,MD,24045
Worcester,2,NA,2020-03-24,Maryland,MD,24047
Anne Arundel,24,NA,2020-03-23,Maryland,MD,24003
Baltimore City,41,NA,2020-03-23,Maryland,MD,24510
Baltimore,42,NA,2020-03-23,Maryland,MD,24005
Calvert,3,NA,2020-03-23,Maryland,MD,24009
Caroline,1,NA,2020-03-23,Maryland,MD,24011
Carroll,5,NA,2020-03-23,Maryland,MD,24013
Cecil,3,NA,2020-03-23,Maryland,MD,24015
Charles,5,NA,2020-03-23,Maryland,MD,24017
Frederick,4,NA,2020-03-23,Maryland,MD,24021
Garrett,3,NA,2020-03-23,Maryland,MD,24023
Harford,5,NA,2020-03-23,Maryland,MD,24025
Howard,30,NA,2020-03-23,Maryland,MD,24027
Montgomery,107,NA,2020-03-23,Maryland,MD,24031
Prince Georges,63,NA,2020-03-23,Maryland,MD,24033
Queen Annes,1,NA,2020-03-23,Maryland,MD,24035
St Marys,2,NA,2020-03-23,Maryland,MD,24037
Somerset,1,NA,2020-03-23,Maryland,MD,24039
Talbot,1,NA,2020-03-23,Maryland,MD,24041
Washington,2,NA,2020-03-23,Maryland,MD,24043
Wicomico,4,NA,2020-03-23,Maryland,MD,24045
Worcester,2,NA,2020-03-23,Maryland,MD,24047
Anne Arundel,20,NA,2020-03-22,Maryland,MD,24003
Baltimore City,31,NA,2020-03-22,Maryland,MD,24510
Baltimore,35,NA,2020-03-22,Maryland,MD,24005
Calvert,2,NA,2020-03-22,Maryland,MD,24009
Caroline,1,NA,2020-03-22,Maryland,MD,24011
Carroll,5,NA,2020-03-22,Maryland,MD,24013
Cecil,1,NA,2020-03-22,Maryland,MD,24015
Charles,5,NA,2020-03-22,Maryland,MD,24017
Frederick,2,NA,2020-03-22,Maryland,MD,24021
Garrett,3,NA,2020-03-22,Maryland,MD,24023
Harford,5,NA,2020-03-22,Maryland,MD,24025
Howard,26,NA,2020-03-22,Maryland,MD,24027
Montgomery,93,NA,2020-03-22,Maryland,MD,24031
Prince Georges,47,NA,2020-03-22,Maryland,MD,24033
Queen Annes,1,NA,2020-03-22,Maryland,MD,24035
St Marys,1,NA,2020-03-22,Maryland,MD,24037
Somerset,1,NA,2020-03-22,Maryland,MD,24039
Talbot,1,NA,2020-03-22,Maryland,MD,24041
Washington,2,NA,2020-03-22,Maryland,MD,24043
Wicomico,4,NA,2020-03-22,Maryland,MD,24045
Worcester,2,NA,2020-03-22,Maryland,MD,24047
